#temps e^- Ar B C K L 
0.0 1.0 1.0 0.0 0.0 0.0 0.0 
0.01 0.9900744613973773 0.9900997464028716 0.009875625338671552 0.009924881855585285 6.56747037481979e-07 6.56747037481979e-07 
0.02 0.9802957155433365 0.9803979426111489 0.0195050055478593 0.019699109229842866 5.1752268207595305e-06 5.1752268207595305e-06 
0.03 0.9706606216952254 0.9708929616570392 0.02889190251269058 0.02932217417323101 1.720413154365686e-05 1.720413154365686e-05 
0.04 0.9611661106529568 0.9615830960524017 0.038040084682262075 0.038793723212934686 4.016613410863595e-05 4.016613410863595e-05 
0.05 0.9518091836293271 0.9524665614467589 0.046953325702833344 0.04811355140364912 7.726496702377349e-05 7.726496702377349e-05 
0.060000000000000005 0.9425869111048992 0.9435415003779821 0.055635402887742415 0.05728159635629339 0.0001314925388072929 0.0001314925388072929 
0.07 0.9334964316696839 0.9348059860956941 0.06409009554694164 0.06629793226167044 0.00020563606864570003 0.00020563606864570003 
0.08 0.9245349508537707 0.9262580264384457 0.0723211831978364 0.07516276392527237 0.0003022852209569546 0.0003022852209569546 
0.09 0.9156997399489726 0.917895567746772 0.08033244367788393 0.08387642082857225 0.00042383922245522445 0.00042383922245522445 
0.09999999999999999 0.9069881348234548 0.9097164987952813 0.08812765117818189 0.09243935123125555 0.0005725139452897017 0.0005725139452897017 
0.10999999999999999 0.898397534731239 0.9017186547280078 0.09571057421605147 0.10085211632793271 0.000750348940828246 0.000750348940828246 
0.11999999999999998 0.8899254011183825 0.8938998209823227 0.1030849735634061 0.10911538447194824 0.0009592144096692656 0.0009592144096692656 
0.12999999999999998 0.8815692564275471 0.886257737187767 0.11025460014649766 0.11722992547796811 0.0012008180944847874 0.0012008180944847874 
0.13999999999999999 0.8733266829025901 0.8787901010272261 0.11722319293145478 0.12519660501409277 0.0014767120833171744 0.0014767120833171744 
0.15 0.8651953213947212 0.8714945720489056 0.12399447680887485 0.1330163790933138 0.0017882995119650618 0.0017882995119650618 
0.16 0.8571728701716909 0.864368775418588 0.1305721604896096 0.14069028867321423 0.002136841155095011 0.002136841155095011 
0.17 0.8492570837313898 0.8574103056026467 0.13695993442279464 0.14821945437191159 0.0025234618966988908 0.0025234618966988908 
0.18000000000000002 0.8414457716211616 0.8506167299732594 0.14316146874612112 0.15560507130735995 0.0029491570714784586 0.0029491570714784586 
0.19000000000000003 0.8337367972640533 0.8439855923281959 0.14918041127733506 0.16284840406627304 0.003414798669673917 0.003414798669673917 
0.20000000000000004 0.8261280767931417 0.8375144163184609 0.1550203855549784 0.16995078180809964 0.003921141398758814 0.003921141398758814 
0.21000000000000005 0.8186175778950158 0.8312007087779267 0.16068498893545868 0.1769135935086878 0.004468828596296535 0.004468828596296535 
0.22000000000000006 0.8112033186634011 0.8250419629499207 0.16617779075265093 0.18373828334750777 0.005058397989091242 0.005058397989091242 
0.23000000000000007 0.8038833664638563 0.8190356616065116 0.17150233054539926 0.19042634624157745 0.005690287294566413 0.005690287294566413 
0.24000000000000007 0.7966558368103941 0.8131792800569825 0.17666211635749476 0.1969793235285405 0.006364839661065535 0.006364839661065535 
0.25000000000000006 0.7895188922548145 0.8074702890426713 0.18166062311396275 0.20339879880069484 0.00708230894449078 0.00708230894449078 
0.26000000000000006 0.7824707412894703 0.8019061575160247 0.18650129107679642 0.20968639389115404 0.00784286481937591 0.00784286481937591 
0.2700000000000001 0.7755096372641238 0.7964843553023153 0.1911875243826214 0.21584376501274774 0.008646597723128658 0.008646597723128658 
0.2800000000000001 0.7686338773174931 0.7912023556430473 0.19572268966417372 0.2218725990497316 0.009493523632775449 0.009493523632775449 
0.2900000000000001 0.7618418013240235 0.786057637620605 0.20011011475691073 0.22777461000187915 0.010383588674097584 0.010383588674097584 
0.3000000000000001 0.7551317908563686 0.7810476884641855 0.20435308749156073 0.23355153558006822 0.011316673563563452 0.011316673563563452 
0.3100000000000001 0.7485022681640083 0.7761700057375013 0.2084548545729421 0.23920513395205534 0.012292597883936506 0.012292597883936506 
0.3200000000000001 0.7419516951683804 0.7714220994091519 0.21241862054495125 0.24473718063674504 0.013311124194874707 0.013311124194874707 
0.3300000000000001 0.7354785724748513 0.7668014938069303 0.2162475468412252 0.2501494655449143 0.014371961980234688 0.014371961980234688 
0.34000000000000014 0.7290814384018075 0.7623057294576653 0.2199447509206313 0.25544379016403823 0.015474771434154455 0.015474771434154455 
0.35000000000000014 0.7227588680271037 0.7579323648145 0.22351330548641674 0.2606219648845834 0.01661916708831316 0.01661916708831316 
