
#temps e^- Ar B C K L 
0.0 1.0 1.0 0.0 0.0 0.0 0.0 
1.0 0.41199999999999976 0.6449999999999999 0.2979999999999998 0.41199999999999976 0.1760000000000001 0.1760000000000001 
2.0 0.17600000000000013 0.6709999999999996 0.22799999999999998 0.4299999999999997 0.3939999999999997 0.3939999999999997 
3.0 0.07800000000000004 0.7480000000000004 0.1390000000000001 0.3649999999999999 0.5569999999999993 0.5569999999999993 
4.0 0.04200000000000002 0.7940000000000003 0.09200000000000005 0.31999999999999984 0.638 0.638 
5.0 0.021000000000000005 0.8140000000000001 0.07100000000000004 0.3009999999999999 0.6780000000000002 0.6780000000000002 
6.0 0.007000000000000001 0.8359999999999997 0.04900000000000003 0.2789999999999999 0.7139999999999997 0.7139999999999997 
7.0 0.004 0.8489999999999999 0.03600000000000001 0.266 0.7299999999999999 0.7299999999999999 
8.0 0.002 0.8589999999999997 0.026000000000000002 0.25600000000000006 0.7419999999999999 0.7419999999999999 
9.0 0.0 0.8659999999999997 0.019000000000000003 0.24900000000000003 0.751 0.751 
10.0 0.0 0.8729999999999996 0.011999999999999999 0.24200000000000005 0.7579999999999999 0.7579999999999999 
11.0 0.0 0.8749999999999993 0.009999999999999998 0.24000000000000007 0.76 0.76 
12.0 0.0 0.8779999999999992 0.007000000000000001 0.2370000000000001 0.7629999999999999 0.7629999999999999 
13.0 0.0 0.8789999999999992 0.006 0.23600000000000013 0.7639999999999999 0.7639999999999999 
14.0 0.0 0.8799999999999992 0.005 0.23500000000000015 0.7649999999999999 0.7649999999999999 
15.0 0.0 0.8809999999999991 0.004 0.23400000000000012 0.7659999999999998 0.7659999999999998 
16.0 0.0 0.8839999999999992 0.001 0.23100000000000015 0.7689999999999998 0.7689999999999998 
17.0 0.0 0.8839999999999992 0.001 0.23100000000000015 0.7689999999999998 0.7689999999999998 
18.0 0.0 0.8839999999999992 0.001 0.23100000000000015 0.7689999999999998 0.7689999999999998 
19.0 0.0 0.8839999999999992 0.001 0.23100000000000015 0.7689999999999998 0.7689999999999998 
20.0 0.0 0.8839999999999992 0.001 0.23100000000000015 0.7689999999999998 0.7689999999999998 
21.0 0.0 0.8849999999999992 0.0 0.23000000000000012 0.7699999999999998 0.7699999999999998 
22.0 0.0 0.8849999999999992 0.0 0.23000000000000012 0.7699999999999998 0.7699999999999998 
23.0 0.0 0.8849999999999992 0.0 0.23000000000000012 0.7699999999999998 0.7699999999999998 
24.0 0.0 0.8849999999999992 0.0 0.23000000000000012 0.7699999999999998 0.7699999999999998 
25.0 0.0 0.8849999999999992 0.0 0.23000000000000012 0.7699999999999998 0.7699999999999998 
26.0 0.0 0.8849999999999992 0.0 0.23000000000000012 0.7699999999999998 0.7699999999999998 
27.0 0.0 0.8849999999999992 0.0 0.23000000000000012 0.7699999999999998 0.7699999999999998 
28.0 0.0 0.8849999999999992 0.0 0.23000000000000012 0.7699999999999998 0.7699999999999998 
29.0 0.0 0.8849999999999992 0.0 0.23000000000000012 0.7699999999999998 0.7699999999999998 
30.0 0.0 0.8849999999999992 0.0 0.23000000000000012 0.7699999999999998 0.7699999999999998 
31.0 0.0 0.8849999999999992 0.0 0.23000000000000012 0.7699999999999998 0.7699999999999998 
32.0 0.0 0.8849999999999992 0.0 0.23000000000000012 0.7699999999999998 0.7699999999999998 
33.0 0.0 0.8849999999999992 0.0 0.23000000000000012 0.7699999999999998 0.7699999999999998 
34.0 0.0 0.8849999999999992 0.0 0.23000000000000012 0.7699999999999998 0.7699999999999998 
35.0 0.0 0.8849999999999992 0.0 0.23000000000000012 0.7699999999999998 0.7699999999999998 
36.0 0.0 0.8849999999999992 0.0 0.23000000000000012 0.7699999999999998 0.7699999999999998 
37.0 0.0 0.8849999999999992 0.0 0.23000000000000012 0.7699999999999998 0.7699999999999998 
38.0 0.0 0.8849999999999992 0.0 0.23000000000000012 0.7699999999999998 0.7699999999999998 
39.0 0.0 0.8849999999999992 0.0 0.23000000000000012 0.7699999999999998 0.7699999999999998 
40.0 0.0 0.8849999999999992 0.0 0.23000000000000012 0.7699999999999998 0.7699999999999998 
