
#temps e^- Ar B 
0.0 1.0 1.0 0.0 
1.0 0.013189999999999901 0.877329999999999 0.12266999999999925 
2.0 0.0020900000000000016 0.871369999999999 0.12862999999999913 
3.0 -0.0005100000000000004 0.8699299999999981 0.13006999999999924 
4.0 -0.001340000000000001 0.8694399999999974 0.13055999999999926 
5.0 -0.0016100000000000012 0.8692499999999973 0.13074999999999926 
6.0 -0.0016800000000000012 0.8692399999999972 0.13075999999999927 
7.0 -0.0017000000000000012 0.8692399999999972 0.13075999999999927 
8.0 -0.0017100000000000012 0.8692299999999973 0.13076999999999928 
9.0 -0.0017100000000000012 0.8692299999999973 0.13076999999999928 
10.0 -0.0017100000000000012 0.8692299999999973 0.13076999999999928 
11.0 -0.0017100000000000012 0.8692299999999973 0.13076999999999928 
12.0 -0.0017100000000000012 0.8692299999999973 0.13076999999999928 
13.0 -0.0017100000000000012 0.8692299999999973 0.13076999999999928 
14.0 -0.0017100000000000012 0.8692299999999973 0.13076999999999928 
15.0 -0.0017100000000000012 0.8692299999999973 0.13076999999999928 
16.0 -0.0017100000000000012 0.8692299999999973 0.13076999999999928 
17.0 -0.0017100000000000012 0.8692299999999973 0.13076999999999928 
18.0 -0.0017100000000000012 0.8692299999999973 0.13076999999999928 
19.0 -0.0017100000000000012 0.8692299999999973 0.13076999999999928 
20.0 -0.0017100000000000012 0.8692299999999973 0.13076999999999928 
21.0 -0.0017100000000000012 0.8692299999999973 0.13076999999999928 
22.0 -0.0017100000000000012 0.8692299999999973 0.13076999999999928 
23.0 -0.0017100000000000012 0.8692299999999973 0.13076999999999928 
24.0 -0.0017100000000000012 0.8692299999999973 0.13076999999999928 
25.0 -0.0017100000000000012 0.8692299999999973 0.13076999999999928 
26.0 -0.0017100000000000012 0.8692299999999973 0.13076999999999928 
27.0 -0.0017100000000000012 0.8692299999999973 0.13076999999999928 
28.0 -0.0017100000000000012 0.8692299999999973 0.13076999999999928 
29.0 -0.0017100000000000012 0.8692299999999973 0.13076999999999928 
30.0 -0.0017100000000000012 0.8692299999999973 0.13076999999999928 
